scheme,subtype,resolution,forecast_date,target_date,horizon,location,variant,median,truth,abs_error,wis,partition_size,cov_50,width_50,lo_50,hi_50,cov_80,width_80,lo_80,hi_80,cov_95,width_95,lo_95,hi_95
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,J.2,0.002,0.0,0.002,0.001414285714285714,13,0,0.002,0.001,0.003,0,0.003,0.001,0.004,0,0.006,0.001,0.007
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,J.2.2,0.005,0.037,0.032,0.028099999999999997,13,0,0.005,0.003,0.008,0,0.008,0.002,0.01,0,0.012,0.001,0.013
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,J.2.3,0.0,0.0,0.0,7.142857142857149e-06,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,J.2.4:160K,0.0,0.0,0.0,4.285714285714286e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,J.2.4:62R-158D-160K-328A,0.0,0.0,0.0,7.142857142857149e-06,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,J.2.4:79V-144N-158D-160K-328A,0.012,0.0,0.012,0.007371428571428571,13,0,0.016,0.006,0.022,0,0.037,0.003,0.04,0,0.084,0.001,0.085
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,K,0.803,0.556,0.247,0.15659285714285706,13,0,0.09399999999999997,0.746,0.84,0,0.17700000000000005,0.693,0.87,0,0.29500000000000004,0.605,0.9
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,K:145N,0.004,0.0,0.004,0.0030285714285714286,13,0,0.009999999999999998,0.001,0.011,0,0.024999999999999998,0.001,0.026,1,0.064,0.0,0.064
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,K:272T,0.15,0.407,0.257,0.18028571428571424,13,0,0.09199999999999998,0.115,0.207,0,0.154,0.092,0.246,0,0.244,0.066,0.31
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,K:80K,0.0,0.0,0.0,0.00020714285714285716,13,1,0.001,0.0,0.001,1,0.003,0.0,0.003,1,0.007,0.0,0.007
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,K:88I,0.0,0.0,0.0,5.714285714285716e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.004,0.0,0.004
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Southeast Asia,J.2.4,0.007,0.0,0.007,0.004742857142857143,13,0,0.003999999999999999,0.005,0.009,0,0.008,0.003,0.011,0,0.012,0.003,0.015
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,J.2,0.006,0.0,0.006,0.004207142857142858,13,0,0.003,0.005,0.008,0,0.007,0.003,0.01,0,0.011,0.002,0.013
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,J.2.2,0.003,0.02,0.017,0.013735714285714285,13,0,0.003,0.002,0.005,0,0.006,0.001,0.007,0,0.009000000000000001,0.001,0.01
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,J.2.3,0.0,0.0,0.0,7.142857142857149e-06,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,J.2.4:160K,0.0,0.0,0.0,1.4285714285714297e-05,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,J.2.4:62R-158D-160K-328A,0.0,0.0,0.0,7.142857142857149e-06,13,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,J.2.4:79V-144N-158D-160K-328A,0.004,0.0,0.004,0.002871428571428571,13,0,0.004,0.003,0.007,0,0.006999999999999999,0.002,0.009,0,0.013999999999999999,0.001,0.015
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,K,0.823,0.842,0.019000000000000017,0.013714285714285715,13,1,0.07199999999999995,0.784,0.856,1,0.14800000000000002,0.741,0.889,1,0.2280000000000001,0.69,0.918
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,K:145N,0.077,0.069,0.007999999999999993,0.009478571428571428,13,1,0.061000000000000006,0.052,0.113,1,0.101,0.035,0.136,1,0.153,0.022,0.175
